"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "CSS", "XML", "Markdown", "Django HTML", "Properties", "comment", "blank", "total"
"d:\Websites\imagify\client\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\Websites\imagify\client\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"d:\Websites\imagify\client\eslint.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"d:\Websites\imagify\client\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Websites\imagify\client\package-lock.json", "JSON", 0, 5717, 0, 0, 0, 0, 0, 0, 0, 1, 5718
"d:\Websites\imagify\client\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Websites\imagify\client\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Websites\imagify\client\public\favicon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\App.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"d:\Websites\imagify\client\src\assets\assets.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 4, 98
"d:\Websites\imagify\client\src\assets\credit_star.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\cross_icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\download_icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\email_icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\facebook_icon.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\imagify\client\src\assets\favicon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\instagram_icon.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\imagify\client\src\assets\lock_icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\logo.svg", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\Websites\imagify\client\src\assets\logo_icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\rating_star.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\imagify\client\src\assets\star_icon.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\imagify\client\src\assets\step_icon_1.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Websites\imagify\client\src\assets\step_icon_2.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\imagify\client\src\assets\step_icon_3.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Websites\imagify\client\src\assets\twitter_icon.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
